ID1 ID2 HetHet IBS0 Kinship
1011797 1613982 0.071 0.007 0.2109
1011810 1504341 0.079 0.005 0.2593
1011810 3069153 0.047 0.0134 0.0699
1011810 5834582 0.045 0.0147 0.0539
1011869 3542537 0.046 0.0153 0.056
1011891 5224405 0.066 0.0001 0.2453
1011940 3983145 0.071 0.0047 0.2316
1011940 4403385 0.052 0.009 0.1287
1012014 3325409 0.079 0.0039 0.2662
1012049 4453977 0.073 0.0051 0.2345
1012100 5218960 0.047 0.0135 0.0731
1012161 4018850 0.035 0.0121 0.0567
1012161 4501070 0.038 0.0097 0.0908
1012193 2915358 0.078 0.0047 0.2573
1012205 3813605 0.045 0.016 0.0455
1012243 2925699 0.046 0.0146 0.0525
1012469 3196372 0.083 0.0032 0.2869
1012487 4974943 0.045 0.0141 0.0589
1012532 2675457 0.047 0.0136 0.0686
1012532 5139113 0.054 0.0107 0.1174
1012659 5389686 0.034 0.0109 0.0617
1012685 5842346 0.075 0.0051 0.2448
1012731 1812498 0.044 0.0155 0.0476
1012779 3773936 0.046 0.0141 0.0645
1012884 3080913 0.052 0.0104 0.1164
1012983 1741337 0.053 0.0099 0.122
1013052 5318885 0.045 0.0144 0.0599
1013211 4616499 0.052 0.0099 0.1197
1013329 1065779 0.052 0.0104 0.1144
1013384 5695231 0.077 0.0054 0.244
1013406 2856359 0.046 0.0137 0.0657
1013449 4708309 0.044 0.015 0.0526
1013473 1114184 0.079 0.0041 0.2643
1013488 4193192 0.048 0.0128 0.0831
1013492 3206308 0.055 0.0085 0.1412
1013540 2156940 0.046 0.0139 0.0669
1013600 3093284 0.068 0 0.2528
1013763 3742250 0.046 0.014 0.0634
1013775 5578844 0.044 0.0157 0.0466
1013856 5322359 0.066 0 0.245
1013867 2144333 0.046 0.0138 0.0671
1013880 3116315 0.045 0.0156 0.0475
1013939 1932939 0.053 0.0085 0.1351
1013939 5314500 0.046 0.014 0.0664
1013950 5094682 0.049 0.0136 0.0783
1013964 2687088 0.066 0.0002 0.2405
1013964 2782748 0.067 0.0001 0.2496
1014031 3379192 0.084 0.004 0.2801
1014094 2991944 0.075 0.0047 0.2476
1014101 2853285 0.046 0.0145 0.0618
1014199 1267786 0.045 0.0153 0.0521
1014199 3773804 0.044 0.0157 0.0458
1014206 2762851 0.044 0.0151 0.0498
1014227 2471476 0.044 0.0149 0.0525
1014227 2755268 0.045 0.0146 0.0529
1014227 4415510 0.07 0.0054 0.2193
1014251 4926343 0.045 0.0149 0.0491
1014251 5327051 0.048 0.0129 0.0806
1014319 1208529 0.069 0.0063 0.2073
1014483 1710213 0.047 0.0126 0.0812
1014677 3755160 0.045 0.0148 0.0564
1014753 3723239 0.066 0 0.2465
1014784 3512763 0.046 0.0143 0.0652
1014784 4120364 0.045 0.015 0.0563
1014804 4964027 0.044 0.0155 0.0453
1014936 4354559 0.044 0.0153 0.0493
1014993 4359393 0.067 0.0001 0.2489
1014993 4476568 0.073 0.0054 0.232
1014993 4676887 0.046 0.0135 0.0708
1015037 2355129 0.074 0.005 0.2401
1015070 1221880 0.049 0.0137 0.0773
1015084 3548256 0.047 0.0135 0.0729
1015158 4781346 0.044 0.0158 0.045
1015175 3492412 0.045 0.0149 0.0558
1015175 3737334 0.045 0.0146 0.0547
1015175 4747675 0.067 0.0001 0.2464
1015175 5594825 0.052 0.0099 0.1184
1015282 4409368 0.046 0.0142 0.0613
